maze_size,algorithm,iterations,nodes_explored,path_length,policy_eval_iterations,time_taken
25,A* (Manhattan),,188,59,,0.00020813941955566406
25,BFS,,260,59,,0.0001800060272216797
25,DFS,,105,103,,8.082389831542969e-05
25,Policy Iteration,43,306,59,3,0.08296585083007812
25,Value Iteration,64,306,59,,0.04584693908691406
50,A* (Manhattan),,1084,117,,0.0017979145050048828
50,BFS,,1339,117,,0.0009109973907470703
50,DFS,,173,167,,0.00012612342834472656
50,Policy Iteration,71,1338,117,2,0.7806520462036133
50,Value Iteration,118,1338,117,,0.32825803756713867
75,A* (Manhattan),,2679,185,,0.0034711360931396484
75,BFS,,2934,185,,0.0021660327911376953
75,DFS,,1806,1017,,0.0011887550354003906
75,Policy Iteration,118,2935,185,2,2.993112087249756
75,Value Iteration,185,2935,185,,1.1208598613739014
100,A* (Manhattan),,1932,225,,0.0026199817657470703
100,BFS,,5357,225,,0.004206180572509766
100,DFS,,1168,853,,0.0008509159088134766
100,Policy Iteration,152,5362,225,2,7.7317469120025635
100,Value Iteration,225,5362,225,,2.56549072265625
125,A* (Manhattan),,5470,295,,0.0063860416412353516
125,BFS,,8252,295,,0.0066220760345458984
125,DFS,,3200,1369,,0.0021719932556152344
125,Policy Iteration,180,8251,295,2,14.994592905044556
125,Value Iteration,304,8251,295,,5.270524978637695
150,A* (Manhattan),,8500,371,,0.010743141174316406
150,BFS,,12064,371,,0.008650064468383789
150,DFS,,3288,2187,,0.002371072769165039
150,Policy Iteration,210,12081,371,3,30.381584882736206
150,Value Iteration,372,12081,371,,9.38327693939209
