maze_size,algorithm,iterations,nodes_explored,path_length,time_taken
50,Policy Iteration,91,1338,123,1.8474717140197754
50,Value Iteration,128,1338,123,0.3569600582122803
100,Policy Iteration,151,5364,239,12.714866876602173
100,Value Iteration,239,5364,239,2.6221630573272705
150,Policy Iteration,200,12076,0,37.502830266952515
150,Value Iteration,363,12076,363,9.03056001663208
200,Policy Iteration,200,21483,0,68.08264088630676
200,Value Iteration,471,21483,471,22.052405834197998
250,Policy Iteration,200,33565,0,108.06235098838806
250,Value Iteration,606,33565,589,42.39944505691528
