maze_size,algorithm,nodes_explored,path_length,time_taken
5,A* (Manhattan),10,7,2.002716064453125e-05
5,BFS,10,7,1.0967254638671875e-05
5,DFS,7,7,1.0967254638671875e-05
50,A* (Manhattan),466,99,0.0014040470123291016
50,BFS,1514,99,0.0011341571807861328
50,DFS,311,269,0.0002880096435546875
100,A* (Manhattan),1613,199,0.00251007080078125
100,BFS,6090,199,0.008999824523925781
100,DFS,1397,849,0.0020439624786376953
150,A* (Manhattan),3913,299,0.0062999725341796875
150,BFS,13733,299,0.013580083847045898
150,DFS,1147,895,0.001463174819946289
200,A* (Manhattan),7490,401,0.014539957046508789
200,BFS,24425,401,0.03497791290283203
200,DFS,5480,4115,0.06918621063232422
250,A* (Manhattan),15932,505,0.03687334060668945
250,BFS,38224,505,0.04528474807739258
250,DFS,5877,4257,0.04629206657409668
300,A* (Manhattan),13363,599,0.040435075759887695
300,BFS,55036,599,0.07817411422729492
300,DFS,4489,3561,0.032852888107299805
350,A* (Manhattan),14975,699,0.03694295883178711
350,BFS,74968,699,0.11394429206848145
350,DFS,6391,4565,0.05331707000732422
400,A* (Manhattan),11175,799,0.02770709991455078
400,BFS,97896,799,0.16547703742980957
400,DFS,7163,5457,0.10728192329406738
450,A* (Manhattan),28849,899,0.08501887321472168
450,BFS,123909,899,0.24129319190979004
450,DFS,17122,12671,0.5389728546142578
500,A* (Manhattan),46394,1001,0.18634533882141113
500,BFS,153025,1001,0.32753419876098633
500,DFS,21216,15069,0.8124861717224121
550,A* (Manhattan),31188,1099,0.11208510398864746
550,BFS,185291,1099,0.43079209327697754
550,DFS,22471,16291,0.9124348163604736
600,A* (Manhattan),50101,1199,0.19863080978393555
600,BFS,220448,1199,0.56685471534729
600,DFS,31229,22589,1.9124550819396973
650,A* (Manhattan),53122,1301,0.24228906631469727
650,BFS,258682,1301,0.7581572532653809
650,DFS,34244,25757,2.3484721183776855
700,A* (Manhattan),80253,1401,0.44937872886657715
700,BFS,300041,1401,0.9565379619598389
700,DFS,30315,21367,1.8205862045288086
750,A* (Manhattan),51244,1499,0.2131481170654297
750,BFS,344425,1499,1.2277159690856934
750,DFS,35586,26571,2.411444902420044
800,A* (Manhattan),64370,1599,0.3418309688568115
800,BFS,391944,1599,1.5217559337615967
800,DFS,27018,19329,1.2852389812469482
850,A* (Manhattan),59051,1699,0.27051210403442383
850,BFS,442549,1699,1.9646031856536865
850,DFS,34911,24697,2.238802194595337
900,A* (Manhattan),87907,1799,0.6789979934692383
900,BFS,496136,1799,2.4101741313934326
900,DFS,46629,34567,3.9873080253601074
950,A* (Manhattan),104477,1899,0.7713358402252197
950,BFS,552953,1899,2.935500144958496
950,DFS,49263,35273,4.467784881591797
1000,A* (Manhattan),91025,1999,0.6875739097595215
1000,BFS,612662,1999,3.7955448627471924
1000,DFS,41286,29313,3.186213254928589
